ID,Species,Factor,Cell Type,Tissue Type,Paper Reference,Paper PMID
GSM1550984,Homo sapiens,H3K27ac,Lymphoblastoid,,"Grubert F, et al. Genetic Control of Chromatin States in Humans Involves Local and Distal Chromosomal Interactions. Cell 2015",26300125.0
GSM1571907,Homo sapiens,H3K27ac,Embryonic Stem Cell,,"Gafni O, et al. Derivation of novel human ground state naive pluripotent stem cells. Nature 2013",24172903.0
GSM1571913,Homo sapiens,H3K27ac,Embryonic Stem Cell,,"Gafni O, et al. Derivation of novel human ground state naive pluripotent stem cells. Nature 2013",24172903.0
GSM1670865,Homo sapiens,H3K27ac,Epithelium,Cervix,"Lai F, et al. Integrator mediates the biogenesis of enhancer RNAs. Nature 2015",26308897.0
GSM1670867,Homo sapiens,H3K27ac,Epithelium,Cervix,"Lai F, et al. Integrator mediates the biogenesis of enhancer RNAs. Nature 2015",26308897.0
GSM1670868,Homo sapiens,H3K27ac,Epithelium,Cervix,"Lai F, et al. Integrator mediates the biogenesis of enhancer RNAs. Nature 2015",26308897.0
GSM1670870,Homo sapiens,H3K27ac,Epithelium,Cervix,"Lai F, et al. Integrator mediates the biogenesis of enhancer RNAs. Nature 2015",26308897.0
GSM1670871,Homo sapiens,H3K27ac,Epithelium,Cervix,"Lai F, et al. Integrator mediates the biogenesis of enhancer RNAs. Nature 2015",26308897.0
GSM1681924,Homo sapiens,H3K27ac,Macrophage,,"Pacheco MP, et al. Integrated metabolic modelling reveals cell-type specific epigenetic control points of the macrophage metabolic network. BMC Genomics 2015",26480823.0
GSM1693019,Homo sapiens,H3K27ac,Epithelium,Breast,"Su Y, et al. Somatic Cell Fusions Reveal Extensive Heterogeneity in Basal-like Breast Cancer. Cell Rep 2015",26051943.0
GSM1705251,Homo sapiens,H3K27ac,Embryonic Stem Cell,Embryo,"Ji X, et al. 3D Chromosome Regulatory Landscape of Human Pluripotent Cells. Cell Stem Cell 2016",26686465.0
GSM1705260,Homo sapiens,H3K27ac,Embryonic Stem Cell,Embryo,"Ji X, et al. 3D Chromosome Regulatory Landscape of Human Pluripotent Cells. Cell Stem Cell 2016",26686465.0
GSM1847877,Homo sapiens,H3K27ac,T Lymphocyte,Blood,"Limbach M, et al. Epigenetic profiling in CD4+ and CD8+ T cells from Graves' disease patients reveals changes in genes associated with T cell receptor signaling. J. Autoimmun. 2015",26459776.0
GSM1847884,Homo sapiens,H3K27ac,T Lymphocyte,Blood,"Limbach M, et al. Epigenetic profiling in CD4+ and CD8+ T cells from Graves' disease patients reveals changes in genes associated with T cell receptor signaling. J. Autoimmun. 2015",26459776.0
GSM1847893,Homo sapiens,H3K27ac,T Lymphocyte,Blood,"Limbach M, et al. Epigenetic profiling in CD4+ and CD8+ T cells from Graves' disease patients reveals changes in genes associated with T cell receptor signaling. J. Autoimmun. 2015",26459776.0
GSM1847905,Homo sapiens,H3K27ac,T Lymphocyte,Blood,"Limbach M, et al. Epigenetic profiling in CD4+ and CD8+ T cells from Graves' disease patients reveals changes in genes associated with T cell receptor signaling. J. Autoimmun. 2015",26459776.0
GSM1847914,Homo sapiens,H3K27ac,T Lymphocyte,Blood,"Limbach M, et al. Epigenetic profiling in CD4+ and CD8+ T cells from Graves' disease patients reveals changes in genes associated with T cell receptor signaling. J. Autoimmun. 2015",26459776.0
GSM1898290,Homo sapiens,H3K27ac,Fibroblast,Skin,"Torres CM, et al. The linker histone H1.0 generates epigenetic and functional intratumor heterogeneity. Science 2016",27708074.0
GSM1898293,Homo sapiens,H3K27ac,Fibroblast,Skin,"Torres CM, et al. The linker histone H1.0 generates epigenetic and functional intratumor heterogeneity. Science 2016",27708074.0
GSM1898299,Homo sapiens,H3K27ac,Fibroblast,Skin,"Torres CM, et al. The linker histone H1.0 generates epigenetic and functional intratumor heterogeneity. Science 2016",27708074.0
GSM1970132,Homo sapiens,H3K27ac,Fibroblast,Lung,,
GSM1970133,Homo sapiens,H3K27ac,Fibroblast,Lung,,
GSM1970134,Homo sapiens,H3K27ac,Fibroblast,Fetal Lung,,
GSM2035810,Homo sapiens,H3K27ac,Keratinocyte,Skin,"Klein RH, et al. GRHL3 binding and enhancers rearrange as epidermal keratinocytes transition between functional states. PLoS Genet. 2017",28445475.0
GSM2035816,Homo sapiens,H3K27ac,Keratinocyte,Skin,"Klein RH, et al. GRHL3 binding and enhancers rearrange as epidermal keratinocytes transition between functional states. PLoS Genet. 2017",28445475.0
GSM2060768,Homo sapiens,H3K27ac,Epithelium,Prostate,,
GSM2100292,Homo sapiens,H3K27ac,B Lymphocyte,,"Jiang Y, et al. CREBBP Inactivation Promotes the Development of HDAC3-Dependent Lymphomas. Cancer Discov 2016",27733359.0
GSM2151907,Homo sapiens,H3K27ac,Fibroblast,Skin,"Kim DE, et al. Convergent roles of ATF3 and CSL in chromatin control of cancer-associated fibroblast activation. J. Exp. Med. ",28684431.0
GSM2151908,Homo sapiens,H3K27ac,Fibroblast,Skin,"Kim DE, et al. Convergent roles of ATF3 and CSL in chromatin control of cancer-associated fibroblast activation. J. Exp. Med. ",28684431.0
GSM2151909,Homo sapiens,H3K27ac,Fibroblast,Skin,"Kim DE, et al. Convergent roles of ATF3 and CSL in chromatin control of cancer-associated fibroblast activation. J. Exp. Med. ",28684431.0
GSM2151910,Homo sapiens,H3K27ac,Fibroblast,Skin,"Kim DE, et al. Convergent roles of ATF3 and CSL in chromatin control of cancer-associated fibroblast activation. J. Exp. Med. ",28684431.0
GSM2171416,Homo sapiens,H3K27ac,,Kidney,"Savitsky P, et al. Multivalent Histone and DNA Engagement by a PHD/BRD/PWWP Triple Reader Cassette Recruits ZMYND8 to K14ac-Rich Chromatin. Cell Rep 2016",27926874.0
GSM2247241,Homo sapiens,H3K27ac,Keratinocyte,,"Rubin AJ, et al. Lineage-specific dynamic and pre-established enhancer-promoter contacts cooperate in terminal differentiation. Nat. Genet. ",28805829.0
GSM2247244,Homo sapiens,H3K27ac,Keratinocyte,,"Rubin AJ, et al. Lineage-specific dynamic and pre-established enhancer-promoter contacts cooperate in terminal differentiation. Nat. Genet. ",28805829.0
GSM2247245,Homo sapiens,H3K27ac,Keratinocyte,,"Rubin AJ, et al. Lineage-specific dynamic and pre-established enhancer-promoter contacts cooperate in terminal differentiation. Nat. Genet. ",28805829.0
GSM2247246,Homo sapiens,H3K27ac,Keratinocyte,,"Rubin AJ, et al. Lineage-specific dynamic and pre-established enhancer-promoter contacts cooperate in terminal differentiation. Nat. Genet. ",28805829.0
GSM2279957,Homo sapiens,H3K27ac,Cardiomyocyte,,,
GSM2279989,Homo sapiens,H3K27ac,Cardiomyocyte,,,
GSM2280013,Homo sapiens,H3K27ac,Cardiomyocyte,,,
GSM2280036,Homo sapiens,H3K27ac,Cardiomyocyte,,,
GSM2293425,Homo sapiens,H3K27ac,,Kidney,"Yao X, et al. VHL Deficiency Drives Enhancer Activation of Oncogenes in Clear Cell Renal Cell Carcinoma. Cancer Discov ",28893800.0
GSM2293442,Homo sapiens,H3K27ac,,Kidney,"Yao X, et al. VHL Deficiency Drives Enhancer Activation of Oncogenes in Clear Cell Renal Cell Carcinoma. Cancer Discov ",28893800.0
GSM2293458,Homo sapiens,H3K27ac,,Kidney,"Yao X, et al. VHL Deficiency Drives Enhancer Activation of Oncogenes in Clear Cell Renal Cell Carcinoma. Cancer Discov ",28893800.0
GSM2293474,Homo sapiens,H3K27ac,,Kidney,"Yao X, et al. VHL Deficiency Drives Enhancer Activation of Oncogenes in Clear Cell Renal Cell Carcinoma. Cancer Discov ",28893800.0
GSM2310582,Homo sapiens,H3K27ac,Monocyte,Blood,"Arts RJ, et al. Glutaminolysis and Fumarate Accumulation Integrate Immunometabolic and Epigenetic Programs in Trained Immunity. Cell Metab. 2016",27866838.0
GSM2310584,Homo sapiens,H3K27ac,Monocyte,Blood,"Arts RJ, et al. Glutaminolysis and Fumarate Accumulation Integrate Immunometabolic and Epigenetic Programs in Trained Immunity. Cell Metab. 2016",27866838.0
GSM2359487,Homo sapiens,H3K27ac,melanoma,Skin,"Rusan M, et al. Suppression of Adaptive Responses to Targeted Cancer Therapy by Transcriptional Repression. Cancer Discov ",29054992.0
GSM2359489,Homo sapiens,H3K27ac,,Lung,"Rusan M, et al. Suppression of Adaptive Responses to Targeted Cancer Therapy by Transcriptional Repression. Cancer Discov ",29054992.0
GSM2359491,Homo sapiens,H3K27ac,Lung Cancer Cell,Lung,"Rusan M, et al. Suppression of Adaptive Responses to Targeted Cancer Therapy by Transcriptional Repression. Cancer Discov ",29054992.0
GSM2359494,Homo sapiens,H3K27ac,Epithelium,Lung,"Rusan M, et al. Suppression of Adaptive Responses to Targeted Cancer Therapy by Transcriptional Repression. Cancer Discov ",29054992.0
GSM2359495,Homo sapiens,H3K27ac,,Lung,"Rusan M, et al. Suppression of Adaptive Responses to Targeted Cancer Therapy by Transcriptional Repression. Cancer Discov ",29054992.0
GSM2359497,Homo sapiens,H3K27ac,Lung Cancer Cell,Lung,"Rusan M, et al. Suppression of Adaptive Responses to Targeted Cancer Therapy by Transcriptional Repression. Cancer Discov ",29054992.0
GSM2386720,Homo sapiens,H3K27ac,B Lymphocyte,Tonsil,"Zhang J, et al. The CREBBP Acetyltransferase Is a Haploinsufficient Tumor Suppressor in B-cell Lymphoma. Cancer Discov 2017",28069569.0
GSM2386722,Homo sapiens,H3K27ac,B Lymphocyte,Tonsil,"Zhang J, et al. The CREBBP Acetyltransferase Is a Haploinsufficient Tumor Suppressor in B-cell Lymphoma. Cancer Discov 2017",28069569.0
GSM2394402,Homo sapiens,H3K27ac,Endothelial Cell,,"Hogan NT, et al. Transcriptional networks specifying homeostatic and inflammatory programs of gene expression in human aortic endothelial cells. Elife ",28585919.0
GSM2394405,Homo sapiens,H3K27ac,Endothelial Cell,,"Hogan NT, et al. Transcriptional networks specifying homeostatic and inflammatory programs of gene expression in human aortic endothelial cells. Elife ",28585919.0
GSM2394406,Homo sapiens,H3K27ac,Endothelial Cell,,"Hogan NT, et al. Transcriptional networks specifying homeostatic and inflammatory programs of gene expression in human aortic endothelial cells. Elife ",28585919.0
GSM2442790,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,,
GSM2473265,Homo sapiens,H3K27ac,B Lymphocyte,Blood,,
GSM2476261,Homo sapiens,H3K27ac,Epithelium,Breast,"Liu Y, et al. Transcriptional landscape of the human cell cycle. Proc. Natl. Acad. Sci. U.S.A. 2017",28289232.0
GSM2483417,Homo sapiens,H3K27ac,Epithelium,Breast,,
GSM2483418,Homo sapiens,H3K27ac,Epithelium,Breast,,
GSM2483422,Homo sapiens,H3K27ac,Epithelium,Breast,,
GSM2483423,Homo sapiens,H3K27ac,Epithelium,Breast,,
GSM2496161,Homo sapiens,H3K27ac,Keratinocyte,,"Rubin AJ, et al. Lineage-specific dynamic and pre-established enhancer-promoter contacts cooperate in terminal differentiation. Nat. Genet. ",28805829.0
GSM2496164,Homo sapiens,H3K27ac,Keratinocyte,,"Rubin AJ, et al. Lineage-specific dynamic and pre-established enhancer-promoter contacts cooperate in terminal differentiation. Nat. Genet. ",28805829.0
GSM2496165,Homo sapiens,H3K27ac,Keratinocyte,,"Rubin AJ, et al. Lineage-specific dynamic and pre-established enhancer-promoter contacts cooperate in terminal differentiation. Nat. Genet. ",28805829.0
GSM2507475,Homo sapiens,H3K27ac,iPSC,,"HD iPSC Consortium , et al. Developmental alterations in Huntington's disease neural cells and pharmacological rescue in cells and mice. Nat. Neurosci. 2017",28319609.0
GSM2516777,Homo sapiens,H3K27ac,melanoma,Skin,"Gelato KA, et al. Super-enhancers define a proliferative PGC-1α-expressing melanoma subgroup sensitive to BET inhibition. Oncogene ",28991225.0
GSM2516780,Homo sapiens,H3K27ac,melanoma,Skin,"Gelato KA, et al. Super-enhancers define a proliferative PGC-1α-expressing melanoma subgroup sensitive to BET inhibition. Oncogene ",28991225.0
GSM2516783,Homo sapiens,H3K27ac,melanoma,Skin,"Gelato KA, et al. Super-enhancers define a proliferative PGC-1α-expressing melanoma subgroup sensitive to BET inhibition. Oncogene ",28991225.0
GSM2544238,Homo sapiens,H3K27ac,Macrophage,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",28890333.0
GSM2544239,Homo sapiens,H3K27ac,Macrophage,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",28890333.0
GSM2550184,Homo sapiens,H3K27ac,Stem cell,,"Zhao MT, et al. Cell Type-Specific Chromatin Signatures Underline Regulatory DNA Elements in Human Induced Pluripotent Stem Cells and Somatic Cells. Circ. Res. ",29030344.0
GSM2550226,Homo sapiens,H3K27ac,Stem cell,,"Zhao MT, et al. Cell Type-Specific Chromatin Signatures Underline Regulatory DNA Elements in Human Induced Pluripotent Stem Cells and Somatic Cells. Circ. Res. ",29030344.0
GSM2550247,Homo sapiens,H3K27ac,Stem cell,,"Zhao MT, et al. Cell Type-Specific Chromatin Signatures Underline Regulatory DNA Elements in Human Induced Pluripotent Stem Cells and Somatic Cells. Circ. Res. ",29030344.0
GSM2572314,Homo sapiens,H3K27ac,Keratinocyte,Foreskin,"Shen Y, et al. Epigenetic and genetic dissections of UV-induced global gene dysregulation in skin cells through multi-omics analyses. Sci Rep 2017",28211524.0
GSM2572315,Homo sapiens,H3K27ac,Keratinocyte,Foreskin,"Shen Y, et al. Epigenetic and genetic dissections of UV-induced global gene dysregulation in skin cells through multi-omics analyses. Sci Rep 2017",28211524.0
GSM2648926,Homo sapiens,H3K27ac,Embryonic Stem Cell,Embryo,,
GSM2671297,Homo sapiens,H3K27ac,Epithelium,Breast,"Hafner A, et al. p53 pulses lead to distinct patterns of gene expression albeit similar DNA-binding dynamics. Nat. Struct. Mol. Biol. ",28825732.0
GSM2671298,Homo sapiens,H3K27ac,Epithelium,Breast,"Hafner A, et al. p53 pulses lead to distinct patterns of gene expression albeit similar DNA-binding dynamics. Nat. Struct. Mol. Biol. ",28825732.0
GSM2671300,Homo sapiens,H3K27ac,Epithelium,Breast,"Hafner A, et al. p53 pulses lead to distinct patterns of gene expression albeit similar DNA-binding dynamics. Nat. Struct. Mol. Biol. ",28825732.0
GSM2676312,Homo sapiens,H3K27ac,Epithelium,Breast,,
GSM2695649,Homo sapiens,H3K27ac,Macrophage,Blood,"Czimmerer Z, et al. Extensive and functional overlap of the STAT6 and RXR cistromes in the active enhancer repertoire of human CD14+ monocyte derived differentiating macrophages. Mol. Cell. Endocrinol. ",28774779.0
GSM2870647,Homo sapiens,H3K27ac,osteosarcoma,Lung,"Morrow JJ, et al. Positively selected enhancer elements endow osteosarcoma cells with metastatic competence. Nat. Med. ",29334376.0
GSM733646,Homo sapiens,H3K27ac,Fibroblast,Lung,"ENCODE Project Consortium , et al. An integrated encyclopedia of DNA elements in the human genome. Nature 2012",22955616.0
GSM733662,Homo sapiens,H3K27ac,Fibroblast,Skin,"ENCODE Project Consortium , et al. An integrated encyclopedia of DNA elements in the human genome. Nature 2012",22955616.0
GSM733684,Homo sapiens,H3K27ac,Epithelium,Cervix,"ENCODE Project Consortium , et al. An integrated encyclopedia of DNA elements in the human genome. Nature 2012",22955616.0
GSM752965,Homo sapiens,H3K27ac,iPSC,Foreskin,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM752966,Homo sapiens,H3K27ac,iPSC,Foreskin,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM767341,Homo sapiens,H3K27ac,Embryonic Stem Cell,Embryo,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM767342,Homo sapiens,H3K27ac,Embryonic Stem Cell,Embryo,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM785500,Homo sapiens,H3K27ac,Macrophage,,"Pham TH, et al. Dynamic epigenetic enhancer signatures reveal key transcription factors associated with monocytic differentiation states. Blood 2012",22550342.0
GSM809015,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Maejima T, et al. Direct evidence for pitavastatin induced chromatin structure change in the KLF4 gene in endothelial cells. PLoS ONE 2014",24797675.0
GSM818031,Homo sapiens,H3K27ac,Embryonic Stem Cell,Embryo,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM864035,Homo sapiens,H3K27ac,Embryonic Stem Cell,Embryo,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM894063,Homo sapiens,H3K27ac,B cell lymphoma,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",23021215.0
GSM894067,Homo sapiens,H3K27ac,Epithelium,Lung,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",23021215.0
GSM945521,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",24721177.0
GSM958156,Homo sapiens,H3K27ac,Keratinocyte,Foreskin,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595.0
GSM986078,Homo sapiens,H3K27ac,Epithelium,Breast,"Theodorou V, et al. GATA3 acts upstream of FOXA1 in mediating ESR1 binding by shaping enhancer accessibility. Genome Res. 2013",23172872.0
GSM998996,Homo sapiens,H3K27ac,B Lymphocyte,Blood,"Andersson R, et al. An atlas of active enhancers across human cell types and tissues. Nature 2014",24670763.0
GSM999000,Homo sapiens,H3K27ac,T Lymphocyte,Blood,"Andersson R, et al. An atlas of active enhancers across human cell types and tissues. Nature 2014",24670763.0
GSM999001,Homo sapiens,H3K27ac,T Lymphocyte,Blood,"Andersson R, et al. An atlas of active enhancers across human cell types and tissues. Nature 2014",24670763.0
