cell_line__name,factor__name,is_correcting,strain__name,cell_pop__name,paper__reference,cell_type__name,paper__pmid,paper__journal__name,name,disease_state__name,link,unique_id,species__name,tissue_type__name,paper__lab
MCF-7,H3K27ac,False,,,"Theodorou V, et al. GATA3 acts upstream of FOXA1 in mediating ESR1 binding by shaping enhancer accessibility. Genome Res. 2013",Epithelium,23172872.0,Genome Res.,SIGATA_H3K27AC_E2_R1,Breast cancer,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM986078,GSM986078,Homo sapiens,Breast,Carroll JS
P493-6,H3K27ac,False,,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",B cell lymphoma,23021215.0,Cell,P493-6_T0_H3K27AC,B-cell Lymphoma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM894062,GSM894062,Homo sapiens,,Young RA
H128,H3K27ac,False,,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",Epithelium,23021215.0,Cell,H128_H3K27AC,Small Cell Lung Carcinoma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM894066,GSM894066,Homo sapiens,Lung,Young RA
P493-6,H3K27ac,False,,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",B cell lymphoma,23021215.0,Cell,P493-6_T1_H3K27AC,B-cell Lymphoma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM894063,GSM894063,Homo sapiens,,Young RA
H2171,H3K27ac,False,,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",Epithelium,23021215.0,Cell,H2171_H3K27AC,Small Cell Lung Carcinoma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM894067,GSM894067,Homo sapiens,Lung,Young RA
MM1.S,H3K27ac,False,,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",B Lymphocyte,23021215.0,Cell,MM1S_H3K27AC_DMSO,Myeloma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM894083,GSM894083,Homo sapiens,Blood,Young RA
P493-6,H3K27ac,False,,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",B cell lymphoma,23021215.0,Cell,P493-6_T24_H3K27AC,B-cell Lymphoma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM894064,GSM894064,Homo sapiens,,Young RA
,H3K27ac,False,,HUVEC,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",Endothelial Cell,24721177.0,Genome Biol.,HUVEC H3K27AC DMSO 24HR HYPOXIA,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM945520,GSM945520,Homo sapiens,Umbilical Vein,Wada Y
,H3K27ac,False,,HUVEC,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",Endothelial Cell,24721177.0,Genome Biol.,HUVEC H3K27AC DMSO 24HR NORMOXIA,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM945521,GSM945521,Homo sapiens,Umbilical Vein,Wada Y
,H3K27ac,False,,,,Plasma Cell,,,MM.1S_H3K27AC_JQ1_JL_CHIPSEQ,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1033757,GSM1033757,Homo sapiens,,
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Keratinocyte,20944595.0,Nat. Biotechnol.,"H3K27AC CHIP-SEQ ANALYSIS OF PENIS, FORESKIN, KERATINOCYTE SKIN03; A15577-1",,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM958156,GSM958156,Homo sapiens,Foreskin,Thomson JA
,H3K27ac,False,,,"Pham TH, et al. Dynamic epigenetic enhancer signatures reveal key transcription factors associated with monocytic differentiation states. Blood 2012",Macrophage,22550342.0,Blood,MAC H3K27AC,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM785500,GSM785500,Homo sapiens,,Rehli M
,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",,19829295.0,Nature,REFERENCE EPIGENOME: CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN PSOAS MUSCLE TISSUE; RENLAB.H3K27AC.STL003PO.01.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM910556,GSM910556,Homo sapiens,Psoas Muscle,Ren B
,H3K27ac,False,,HUVEC,"Ernst J, et al. Mapping and analysis of chromatin state dynamics in nine human cell types. Nature 2011",Endothelial Cell,21441907.0,Nature,HUVEC_H3K27AC_REP2,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM646415,GSM646415,Homo sapiens,Umbilical Vein,Bernstein BE
,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",Epithelium,19829295.0,Nature,REFERENCE EPIGENOME: CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN SMALL INTESTINE TISSUE; RENLAB.H3K27AC.STL002SB.01.01,"iron deficiency, bipolar",http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1013131,GSM1013131,Homo sapiens,Small Intestine,Ren B
,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",,19829295.0,Nature,REFERENCE EPIGENOME: CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN PSOAS MUSCLE TISSUE; RENLAB.H3K27AC.STL002PO.01.01,"iron deficiency, bipolar",http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1013130,GSM1013130,Homo sapiens,Psoas Muscle,Ren B
,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",Epithelium,19829295.0,Nature,REFERENCE EPIGENOME: CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN LUNG TISSUE; RENLAB.H3K27AC.STL001LG.01.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1013123,GSM1013123,Homo sapiens,Lung,Ren B
,H3K27ac,False,,HUVEC,"Maejima T, et al. Direct evidence for pitavastatin induced chromatin structure change in the KLF4 gene in endothelial cells. PLoS ONE 2014",Endothelial Cell,24797675.0,PLoS ONE,H3K27AC NS CHIP SEQ,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM809015,GSM809015,Homo sapiens,Umbilical Vein,Wada Y
,H3K27ac,False,,,"Zhang B, et al. A dynamic H3K27ac signature identifies VEGFA-stimulated endothelial enhancers and requires EP300 activity. Genome Res. 2013",Endothelial Cell,23547170.0,Genome Res.,H3K27AC HOUR 1,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1009624,GSM1009624,Homo sapiens,Umbilical Vein,Pu WT
,H3K27ac,False,,,"Zhang B, et al. A dynamic H3K27ac signature identifies VEGFA-stimulated endothelial enhancers and requires EP300 activity. Genome Res. 2013",Endothelial Cell,23547170.0,Genome Res.,H3K27AC HOUR 0,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1009623,GSM1009623,Homo sapiens,Umbilical Vein,Pu WT
,H3K27ac,False,,,"Zhang B, et al. A dynamic H3K27ac signature identifies VEGFA-stimulated endothelial enhancers and requires EP300 activity. Genome Res. 2013",Endothelial Cell,23547170.0,Genome Res.,H3K27AC HOUR 12,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1009626,GSM1009626,Homo sapiens,Umbilical Vein,Pu WT
,H3K27ac,False,,,"Zhang B, et al. A dynamic H3K27ac signature identifies VEGFA-stimulated endothelial enhancers and requires EP300 activity. Genome Res. 2013",Endothelial Cell,23547170.0,Genome Res.,H3K27AC HOUR 4,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1009625,GSM1009625,Homo sapiens,Umbilical Vein,Pu WT
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN SKELETAL MU CELLS; DNA_LIB 1766,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM916064,GSM916064,Homo sapiens,Skeletal Muscle,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Smooth Muscle Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN STOMACH SMOOTH MU CELLS; DNA_LIB 1765,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM916065,GSM916065,Homo sapiens,Stomach,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Mesenchymal Stem Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN CHONDROGENIC DIF  CELLS; DNA_LIB 1248,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM916058,GSM916058,Homo sapiens,Bone Marrow,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",,20944595.0,Nat. Biotechnol.,"HISTONE H3K27AC CHIP-SEQ OF FETAL MUSCLE, LEG; HISTONE.DS21782",Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1058767,GSM1058767,Homo sapiens,Fetal Muscle Leg,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Epithelium,20944595.0,Nat. Biotechnol.,"HISTONE H3K27AC CHIP-SEQ OF FETAL INTESTINE, LARGE; HISTONE.DS21780",Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1058765,GSM1058765,Homo sapiens,Fetal Large Intestine,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Epithelium,20944595.0,Nat. Biotechnol.,"HISTONE H3K27AC CHIP-SEQ OF FETAL INTESTINE, SMALL; HISTONE.DS21781",Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1058766,GSM1058766,Homo sapiens,Fetal Small Intestine,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Mesenchymal Stem Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN CHONDROGENIC DIF CELLS; DNA_LIB 1000,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1112786,GSM1112786,Homo sapiens,Bone Marrow,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Mesenchymal Stem Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN CHONDROGENIC DIF CELLS; DNA_LIB 1001,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1112787,GSM1112787,Homo sapiens,Bone Marrow,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Smooth Muscle Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN RECTAL SMOOTH MUSCLE CELLS; DNA_LIB 1043,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1112796,GSM1112796,Homo sapiens,Rectum,Thomson JA
HUES64,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Embryonic Stem Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN CD56+ MESODERM CELLS; DNA_LIB 3195,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1112825,GSM1112825,Homo sapiens,Embryo,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Mesenchymal Stem Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN CHONDROGENIC DIF CELLS; DNA_LIB 995,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1112794,GSM1112794,Homo sapiens,Bone Marrow,Thomson JA
HUES64,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Embryonic Stem Cell,20944595.0,Nat. Biotechnol.,CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN CD56+ MESODERM CELLS; DNA_LIB 3198,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1112832,GSM1112832,Homo sapiens,Embryo,Thomson JA
,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",Epithelium,19829295.0,Nature,REFERENCE EPIGENOME: CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN SMALL BOWEL TISSUE; RENLAB.H3K27AC.STL003SB.01.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1127172,GSM1127172,Homo sapiens,Small Intestine,Ren B
,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",,19829295.0,Nature,REFERENCE EPIGENOME: CHIP-SEQ ANALYSIS OF H3K27AC IN HUMAN PSOAS MUSCLE TISSUE; RENLAB.H3K27AC.STL001PO.01.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1127171,GSM1127171,Homo sapiens,Psoas Muscle,Ren B
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Fibroblast,20944595.0,Nat. Biotechnol.,H3K27AC CHIP-SEQ ANALYSIS OF FORESKIN FIBROBLAST FROM SKIN02; A18461-1,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1127060,GSM1127060,Homo sapiens,Foreskin,Thomson JA
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Fibroblast,20944595.0,Nat. Biotechnol.,H3K27AC CHIP-SEQ ANALYSIS OF FORESKIN FIBROBLAST FROM SKIN01; A18460-1,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1127076,GSM1127076,Homo sapiens,Foreskin,Thomson JA
,H3K27ac,False,,CD14+,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",Monocyte,24012417.0,Immunity,H3K27AC_CHIPSEQ_REP1_A,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1057016,GSM1057016,Homo sapiens,Blood,Ivashkiv LB
,H3K27ac,False,,CD14+,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",Monocyte,24012417.0,Immunity,H3K27AC_CHIPSEQ_REP1_B,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1057017,GSM1057017,Homo sapiens,Blood,Ivashkiv LB
,H3K27ac,False,,CD14+,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",Monocyte,24012417.0,Immunity,H3K27AC_CHIPSEQ_REP1_C,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1057018,GSM1057018,Homo sapiens,Blood,Ivashkiv LB
,H3K27ac,False,,CD14+,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",Monocyte,24012417.0,Immunity,H3K27AC_CHIPSEQ_REP2_A,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1057020,GSM1057020,Homo sapiens,Blood,Ivashkiv LB
,H3K27ac,False,,CD14+,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",Monocyte,24012417.0,Immunity,H3K27AC_CHIPSEQ_REP2_B,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1057021,GSM1057021,Homo sapiens,Blood,Ivashkiv LB
,H3K27ac,False,,CD14+,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",Monocyte,24012417.0,Immunity,H3K27AC_CHIPSEQ_REP2_C,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1057022,GSM1057022,Homo sapiens,Blood,Ivashkiv LB
,H3K27ac,False,,CD14+,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",Monocyte,24012417.0,Immunity,H3K27AC_CHIPSEQ_REP2_D,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1057023,GSM1057023,Homo sapiens,Blood,Ivashkiv LB
,H3K27ac,False,,HUVEC,"Jin F, et al. A high-resolution map of the three-dimensional chromatin interactome in human cells. Nature 2013",Endothelial Cell,24141950.0,Nature,CHIP-SEQ H3K27AC HUVEC,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1154045,GSM1154045,Homo sapiens,Umbilical Vein,Ren B
,H3K27ac,False,,HUVEC,"Jin F, et al. A high-resolution map of the three-dimensional chromatin interactome in human cells. Nature 2013",Endothelial Cell,24141950.0,Nature,CHIP-SEQ H3K27A HUVEC+TNF-Α,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1154046,GSM1154046,Homo sapiens,Umbilical Vein,Ren B
IMR90,H3K27ac,False,,,"Jin F, et al. A high-resolution map of the three-dimensional chromatin interactome in human cells. Nature 2013",Fibroblast,24141950.0,Nature,CHIP-SEQ H3K27A IMR90+IFN-Γ,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1154047,GSM1154047,Homo sapiens,Lung,Ren B
GM18507,H3K27ac,False,,,"McVicker G, et al. Identification of genetic variants that affect histone modifications in human cells. Science 2013",Lymphoblastoid,24136359.0,Science,H3K27AC CHIP-SEQ FOR GM18507,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1164224,GSM1164224,Homo sapiens,Blood,Pritchard JK
GM18508,H3K27ac,False,,,"McVicker G, et al. Identification of genetic variants that affect histone modifications in human cells. Science 2013",Lymphoblastoid,24136359.0,Science,H3K27AC CHIP-SEQ FOR GM18508,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1164225,GSM1164225,Homo sapiens,Blood,Pritchard JK
GM12878,H3K27ac,False,,,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",B Lymphocyte,24136358.0,Science,GM12878_H3K27AC_3,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1233891,GSM1233891,Homo sapiens,Blood,Snyder M
GM12878,H3K27ac,False,,,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",B Lymphocyte,24136358.0,Science,GM12878_H3K27AC_4.4,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1233895,GSM1233895,Homo sapiens,Blood,Snyder M
GM12890,H3K27ac,False,,,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",Lymphoblastoid,24136358.0,Science,GM12890_H3K27AC_1,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1233917,GSM1233917,Homo sapiens,Blood,Snyder M
GM12891,H3K27ac,False,,,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",Lymphoblastoid,24136358.0,Science,GM12891_H3K27AC_3,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1233937,GSM1233937,Homo sapiens,Blood,Snyder M
GM18505,H3K27ac,False,,,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",Lymphoblastoid,24136358.0,Science,GM18505_H3K27AC_1,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1233995,GSM1233995,Homo sapiens,Blood,Snyder M
GM2630,H3K27ac,False,,,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",Lymphoblastoid,24136358.0,Science,GM2630_H3K27AC_2,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1234202,GSM1234202,Homo sapiens,Blood,Snyder M
Jurkat,H3K27ac,False,,,"Hnisz D, et al. Super-enhancers in the control of cell identity and disease. Cell 2013",T Lymphocyte,24119843.0,Cell,H3K27AC CHIP RPMI-8402_CHIPSEQ,Acute T Cell Leukemia,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1246865,GSM1246865,Homo sapiens,Blood,Young RA
CUTLL1,H3K27ac,False,,,"Wang H, et al. NOTCH1-RBPJ complexes drive target gene expression through dynamic interactions with superenhancers. Proc. Natl. Acad. Sci. U.S.A. 2014",T Lymphocyte,24374627.0,Proc. Natl. Acad. Sci. U.S.A.,H3K27AC GSI,T-cell Lymphoma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1252939,GSM1252939,Homo sapiens,Blood,Aster JC
CUTLL1,H3K27ac,False,,,"Wang H, et al. NOTCH1-RBPJ complexes drive target gene expression through dynamic interactions with superenhancers. Proc. Natl. Acad. Sci. U.S.A. 2014",T Lymphocyte,24374627.0,Proc. Natl. Acad. Sci. U.S.A.,H3K27AC W4H,T-cell Lymphoma,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1252940,GSM1252940,Homo sapiens,Blood,Aster JC
,H3K27ac,False,,,"Chapuy B, et al. Discovery and characterization of super-enhancer-associated dependencies in diffuse large B cell lymphoma. Cancer Cell 2013",B Lymphocyte,24332044.0,Cancer Cell,P265_H3K27AC,Diffuse Large B-cell Lymphoma (DLBCL) ,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1254210,GSM1254210,Homo sapiens,Bone Marrow,Bradner JE
,H3K27ac,False,,,"Chapuy B, et al. Discovery and characterization of super-enhancer-associated dependencies in diffuse large B cell lymphoma. Cancer Cell 2013",B Lymphocyte,24332044.0,Cancer Cell,P286_H3K27AC,Diffuse Large B-cell Lymphoma (DLBCL) ,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1254212,GSM1254212,Homo sapiens,Bone Marrow,Bradner JE
