ID,Species,Factor,Cell Type,Tissue Type,Paper Reference,PMID
GSM537709,Homo sapiens,H3K4me3,liver_epithelium,Liver,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM575286,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Guenther MG, et al. Chromatin structure and gene expression programs of human embryonic and induced pluripotent stem cells. Cell Stem Cell 2010",20682450
GSM575287,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Guenther MG, et al. Chromatin structure and gene expression programs of human embryonic and induced pluripotent stem cells. Cell Stem Cell 2010",20682450
GSM575288,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Guenther MG, et al. Chromatin structure and gene expression programs of human embryonic and induced pluripotent stem cells. Cell Stem Cell 2010",20682450
GSM575290,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Guenther MG, et al. Chromatin structure and gene expression programs of human embryonic and induced pluripotent stem cells. Cell Stem Cell 2010",20682450
GSM575292,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Guenther MG, et al. Chromatin structure and gene expression programs of human embryonic and induced pluripotent stem cells. Cell Stem Cell 2010",20682450
GSM588570,Homo sapiens,H3K4me3,breast_epithelium,Breast,"Joseph R, et al. Integrative model of genomic factors for determining binding site selection by estrogen receptor-α. Mol. Syst. Biol. 2010",21179027
GSM588571,Homo sapiens,H3K4me3,breast_epithelium,Breast,"Joseph R, et al. Integrative model of genomic factors for determining binding site selection by estrogen receptor-α. Mol. Syst. Biol. 2010",21179027
GSM613869,Homo sapiens,H3K4me3,breast_epithelium,Mammary Gland,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM613874,Homo sapiens,H3K4me3,breast_epithelium,Mammary Gland,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621645,Homo sapiens,H3K4me3,smooth_muscle_cell,Fetal Stomach,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621662,Homo sapiens,H3K4me3,smooth_muscle_cell,Muscle,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621675,Homo sapiens,H3K4me3,liver_epithelium,Liver,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621685,Homo sapiens,H3K4me3,smooth_muscle_cell,Skeletal Muscle,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621694,Homo sapiens,H3K4me3,smooth_muscle_cell,Skeletal Muscle,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621737,Homo sapiens,H3K4me3,smooth_muscle_cell,Muscle,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621745,Homo sapiens,H3K4me3,smooth_muscle_cell,Muscle,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM621760,Homo sapiens,H3K4me3,smooth_muscle_cell,Muscle,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM646424,Homo sapiens,H3K4me3,vein_endothelial_cell,Umbilical Vein,"Ernst J, et al. Mapping and analysis of chromatin state dynamics in nine human cell types. Nature 2011",21441907
GSM646425,Homo sapiens,H3K4me3,vein_endothelial_cell,Umbilical Vein,"Ernst J, et al. Mapping and analysis of chromatin state dynamics in nine human cell types. Nature 2011",21441907
GSM648493,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Tian Y, et al. Global mapping of H3K4me1 and H3K4me3 reveals the chromatin state-based cell type-specific gene regulation in human Treg cells. PLoS ONE 2011",22132139
GSM648495,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Tian Y, et al. Global mapping of H3K4me1 and H3K4me3 reveals the chromatin state-based cell type-specific gene regulation in human Treg cells. PLoS ONE 2011",22132139
GSM669889,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM669936,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM669943,Homo sapiens,H3K4me3,hematopoietic_stem_cell,Cord blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM669990,Homo sapiens,H3K4me3,chondrocyte,Cartilage,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM670004,Homo sapiens,H3K4me3,chondrocyte,Cartilage,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM670034,Homo sapiens,H3K4me3,chondrocyte,Cartilage,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM686935,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"Wang D, et al. Reprogramming transcription by distinct classes of enhancers functionally defined by eRNA. Nature 2011",21572438
GSM693277,Homo sapiens,H3K4me3,breast_epithelium,Mammary Gland,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM706074,Homo sapiens,H3K4me3,pluripotent_stem_cell,Foreskin,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295
GSM721134,Homo sapiens,H3K4me3,breast_epithelium,Mammary Gland,"Hon GC, et al. Global DNA hypomethylation coupled to repressive chromatin domain formation and gene silencing in breast cancer. Genome Res. 2010",22156296
GSM767348,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295
GSM772736,Homo sapiens,H3K4me3,embryonic_stem_cell,Brain,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772746,Homo sapiens,H3K4me3,adipocyte,Adipose,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772782,Homo sapiens,H3K4me3,granulocytes,Cord blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772792,Homo sapiens,H3K4me3,chondrocyte,Bone Marrow,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772817,Homo sapiens,H3K4me3,adipocyte,Adipose,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772839,Homo sapiens,H3K4me3,smooth_muscle_cell,Duodenum,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772852,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772861,Homo sapiens,H3K4me3,smooth_muscle_cell,Colon,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772896,Homo sapiens,H3K4me1,CD8_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772925,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772944,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM772986,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM779435,Homo sapiens,H3K4me3,cervix_epithelium,Cervix,"Michaud J, et al. HCFC1 is a common component of active human CpG-island promoters and coincides with ZNF143, THAP11, YY1, and GABP transcription factor occupancy. Genome Res. 2013",23539139
GSM811204,Homo sapiens,H3K4me3,breast_epithelium,Mammary Gland,"Shankaranarayanan P, et al. Single-tube linear DNA amplification (LinDA) for robust ChIP-seq. Nat. Methods 2011",21642965
GSM811205,Homo sapiens,H3K4me3,breast_epithelium,Mammary Gland,"Shankaranarayanan P, et al. Single-tube linear DNA amplification (LinDA) for robust ChIP-seq. Nat. Methods 2011",21642965
GSM817235,Homo sapiens,H3K4me3,skin_fibroblast,Foreskin,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM831874,Homo sapiens,H3K4me3,skin_fibroblast,Skin,"Pang B, et al. Drug-induced histone eviction from open chromatin contributes to the chemotherapeutic effects of doxorubicin. Nat Commun 2013",23715267
GSM831875,Homo sapiens,H3K4me3,skin_fibroblast,Skin,"Pang B, et al. Drug-induced histone eviction from open chromatin contributes to the chemotherapeutic effects of doxorubicin. Nat Commun 2013",23715267
GSM831876,Homo sapiens,H3K4me3,skin_fibroblast,Skin,"Pang B, et al. Drug-induced histone eviction from open chromatin contributes to the chemotherapeutic effects of doxorubicin. Nat Commun 2013",23715267
GSM841172,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Liu GH, et al. Progressive degeneration of human neural stem cells caused by pathogenic LRRK2. Nature 2012",23075850
GSM841173,Homo sapiens,H3K4me3,neural_precursor,,"Liu GH, et al. Progressive degeneration of human neural stem cells caused by pathogenic LRRK2. Nature 2012",23075850
GSM841174,Homo sapiens,H3K4me3,neural_precursor,,"Liu GH, et al. Progressive degeneration of human neural stem cells caused by pathogenic LRRK2. Nature 2012",23075850
GSM841175,Homo sapiens,H3K4me3,neural_precursor,,"Liu GH, et al. Progressive degeneration of human neural stem cells caused by pathogenic LRRK2. Nature 2012",23075850
GSM841176,Homo sapiens,H3K4me3,neural_precursor,,"Liu GH, et al. Progressive degeneration of human neural stem cells caused by pathogenic LRRK2. Nature 2012",23075850
GSM847242,Homo sapiens,H3K4me3,B_cell,Bone Marrow,,0
GSM847243,Homo sapiens,H3K4me3,B_cell,Bone Marrow,,0
GSM867109,Homo sapiens,H3K4me3,common-lymphoid_progenitors,Fetal Liver,"Chang KH, et al. Epigenetic modifications and chromosome conformations of the beta globin locus throughout development. Stem Cell Rev 2013",22374078
GSM867110,Homo sapiens,H3K4me3,common-lymphoid_progenitors,Blood,"Chang KH, et al. Epigenetic modifications and chromosome conformations of the beta globin locus throughout development. Stem Cell Rev 2013",22374078
GSM868997,Homo sapiens,H3K4me3,liver_epithelium,Liver,"Tian Y, et al. Telbivudine treatment corrects HBV-induced epigenetic alterations in liver cells of patients with chronic hepatitis B. Carcinogenesis 2013",24067902
GSM868999,Homo sapiens,H3K4me3,liver_epithelium,Liver,"Tian Y, et al. Telbivudine treatment corrects HBV-induced epigenetic alterations in liver cells of patients with chronic hepatitis B. Carcinogenesis 2013",24067902
GSM894068,Homo sapiens,H3K4me3,B_cell,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",23021215
GSM894069,Homo sapiens,H3K4me3,B_cell,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",23021215
GSM894070,Homo sapiens,H3K4me3,B_cell,,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",23021215
GSM894072,Homo sapiens,H3K4me3,lung_epithelium,Lung,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",23021215
GSM894073,Homo sapiens,H3K4me3,lung_epithelium,Lung,"Lin CY, et al. Transcriptional amplification in tumor cells with elevated c-Myc. Cell 2012",23021215
GSM916063,Homo sapiens,H3K4me3,natural_killer_cell,Embryo,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM916069,Homo sapiens,H3K4me3,natural_killer_cell,Embryo,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM916071,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM922787,Homo sapiens,H3K4me3,cervix_epithelium,Cervix,"Dellino GI, et al. Genome-wide mapping of human DNA-replication origins: levels of transcription at ORC1 sites regulate origin selection and replication timing. Genome Res. 2013",23187890
GSM941718,Homo sapiens,H3K4me3,skin_fibroblast,Foreskin,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM941735,Homo sapiens,H3K4me3,keratinocyte,Foreskin,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM947524,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"Bert SA, et al. Regional activation of the cancer genome by long-range epigenetic remodeling. Cancer Cell 2013",23245995
GSM955983,Homo sapiens,H3K4me3,vein_endothelial_cell,Umbilical Vein,"Mimura I, et al. Dynamic change of chromatin conformation in response to hypoxia enhances the expression of GLUT3 (SLC2A3) by cooperative interaction of hypoxia-inducible factor 1 and KDM3A. Mol. Cell. Biol. 2012",22645302
GSM955984,Homo sapiens,H3K4me3,vein_endothelial_cell,Umbilical Vein,"Mimura I, et al. Dynamic change of chromatin conformation in response to hypoxia enhances the expression of GLUT3 (SLC2A3) by cooperative interaction of hypoxia-inducible factor 1 and KDM3A. Mol. Cell. Biol. 2012",22645302
GSM958155,Homo sapiens,H3K4me3,keratinocyte,Foreskin,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM969569,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"Xu K, et al. EZH2 oncogenic activity in castration-resistant prostate cancer cells is Polycomb-independent. Science 2012",23239736
GSM984397,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"Decker KF, et al. Persistent androgen receptor-mediated transcription in castration-resistant prostate cancer under androgen-deprived conditions. Nucleic Acids Res. 2012",23019221
GSM984398,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"Decker KF, et al. Persistent androgen receptor-mediated transcription in castration-resistant prostate cancer under androgen-deprived conditions. Nucleic Acids Res. 2012",23019221
GSM984400,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"Decker KF, et al. Persistent androgen receptor-mediated transcription in castration-resistant prostate cancer under androgen-deprived conditions. Nucleic Acids Res. 2012",23019221
GSM997221,Homo sapiens,H3K4me3,natural_killer_cell,Embryo,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM997232,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM997256,Homo sapiens,H3K4me3,CD4_T_cell,Blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
